Volcano_Number,Volcano_Name,Country,Primary_Volcano_Type,Type_group,Tectonic_Setting,Last_Eruption_Year,years_since,dated
231070,"Rahat, Harrat",Saudi Arabia,Volcanic field,Monogenetic / field,Intraplate / Continental crust (> 25 km),1256.0,770.0,True
231160,"Sawad, Harra Es-",Yemen,Volcanic field,Monogenetic / field,Intraplate / Continental crust (> 25 km),1253.0,773.0,True
300550,Gorny Institute,Russia,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),1250.0,776.0,True
222166,Rungwe,Tanzania,Stratovolcano,Stratovolcano / complex,Rift zone / Continental crust (> 25 km),1250.0,776.0,True
323010,Shasta,United States,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),1250.0,776.0,True
357111,Sollipulli,Chile,Caldera,Caldera,Subduction zone / Continental crust (> 25 km),1240.0,786.0,True
211042,Lipari,Italy,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),1230.0,796.0,True
268061,Kie Matubu,Indonesia,Stratovolcano,Stratovolcano / complex,Subduction zone / Oceanic crust (< 15 km),1210.0,816.0,True
283031,Yokodake,Japan,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),1200.0,826.0,True
313050,Hayes,United States,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),1200.0,826.0,True
282043,Kuchinoshima,Japan,Stratovolcano(es),Stratovolcano / complex,Subduction zone / Oceanic crust (< 15 km),1190.0,836.0,True
351040,Machin,Colombia,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),1180.0,846.0,True
353011,Ecuador,Ecuador,Shield,Shield,Rift zone / Oceanic crust (< 15 km),1150.0,876.0,True
341095,Naolinco Volcanic Field,Mexico,Volcanic field,Monogenetic / field,Subduction zone / Continental crust (> 25 km),1145.0,881.0,True
329010,Uinkaret Field,United States,Volcanic field,Monogenetic / field,Rift zone / Continental crust (> 25 km),1100.0,926.0,True
358022,Yate,Chile,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),1090.0,936.0,True
285081,Mashu,Japan,Caldera,Caldera,Subduction zone / Continental crust (> 25 km),1080.0,946.0,True
329020,San Francisco Volcanic Field,United States,Volcanic field,Monogenetic / field,Rift zone / Continental crust (> 25 km),1075.0,951.0,True
344092,Nejapa-Miraflores,Nicaragua,Fissure vent(s),Monogenetic / field,Subduction zone / Continental crust (> 25 km),1060.0,966.0,True
323020,Medicine Lake,United States,Shield,Shield,Subduction zone / Continental crust (> 25 km),1060.0,966.0,True
327040,Markagunt Plateau,United States,Volcanic field,Monogenetic / field,Rift zone / Continental crust (> 25 km),1050.0,976.0,True
306040,Halla,South Korea,Shield,Shield,Intraplate / Continental crust (> 25 km),1007.0,1019.0,True
231040,"Lunayyir, Harrat",Saudi Arabia,Volcanic field,Monogenetic / field,Intraplate / Continental crust (> 25 km),1000.0,1026.0,True
370030,Ljosufjoll,Iceland,Volcanic field,Monogenetic / field,Rift zone / Oceanic crust (< 15 km),960.0,1066.0,True
300220,Komarov,Russia,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),950.0,1076.0,True
320060,Edziza,Canada,Stratovolcano,Stratovolcano / complex,Intraplate / Continental crust (> 25 km),950.0,1076.0,True
371080,Oddnyjarhnjukur-Langjokull,Iceland,Fissure vent(s),Monogenetic / field,Rift zone / Oceanic crust (< 15 km),950.0,1076.0,True
252100,Hargy,Papua New Guinea,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),950.0,1076.0,True
322020,Jefferson,United States,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),950.0,1076.0,True
321040,Adams,United States,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),950.0,1076.0,True
360100,"Trois Pitons, Morne",Dominica,Complex,Stratovolcano / complex,Subduction zone / Oceanic crust (< 15 km),920.0,1106.0,True
283271,Towada,Japan,Caldera,Caldera,Subduction zone / Continental crust (> 25 km),915.0,1111.0,True
284020,Niijima,Japan,Lava dome(s),Monogenetic / field,Subduction zone / Oceanic crust (< 15 km),886.0,1140.0,True
282070,Ata,Japan,Caldera(s),Caldera,Subduction zone / Continental crust (> 25 km),885.0,1141.0,True
284180,Alamagan,United States,Stratovolcano,Stratovolcano / complex,Subduction zone / Crustal thickness unknown,870.0,1156.0,True
